provinsi,jenis,daerah,tahun,periode,gk,ump,peng,upah
JAMBI,MAKANAN,PERDESAAN,2020,SEPTEMBER,350313,2630162,565807,15840
JAMBI,MAKANAN,PERKOTAAN,2021,MARET,437220,2788826,673352,16043
JAMBI,MAKANAN,PERKOTAAN,2021,SEPTEMBER,448893,2788826,673352,16043
JAMBI,MAKANAN,PERKOTAAN,2022,MARET,478149,2698941,710704,16042
JAMBI,MAKANAN,PERKOTAAN,2022,SEPTEMBER,517739,2698941,710704,16042
JAMBI,MAKANAN,PERDESAAN,2021,MARET,362221,2788826,584662,16043
JAMBI,MAKANAN,PERDESAAN,2021,SEPTEMBER,364150,2788826,584662,16043
JAMBI,MAKANAN,PERDESAAN,2022,MARET,380967,2698941,639512,16042
JAMBI,MAKANAN,PERDESAAN,2022,SEPTEMBER,410425,2698941,639512,16042
JAMBI,NONMAKANAN,PERKOTAAN,2015,MARET,108566,1710000,556527,12954
JAMBI,NONMAKANAN,PERKOTAAN,2015,SEPTEMBER,115476,1710000,556527,12954
JAMBI,NONMAKANAN,PERKOTAAN,2016,MARET,118646,1906650,624606,13169
JAMBI,NONMAKANAN,PERKOTAAN,2016,SEPTEMBER,120458,1906650,624606,13169
JAMBI,NONMAKANAN,PERDESAAN,2015,MARET,69186,1710000,349329,12954
JAMBI,NONMAKANAN,PERDESAAN,2015,SEPTEMBER,70949,1710000,349329,12954
JAMBI,NONMAKANAN,PERDESAAN,2016,MARET,71249,1906650,357591,13169
